,Date,variable,value
707,2020-12-18,Age-18to64,2290
708,2020-12-19,Age-18to64,2305
709,2020-12-20,Age-18to64,2305
710,2020-12-21,Age-18to64,2320
711,2020-12-22,Age-18to64,2342
712,2020-12-23,Age-18to64,2418
713,2020-12-24,Age-18to64,2418
714,2020-12-25,Age-18to64,2451
715,2020-12-26,Age-18to64,2466
716,2020-12-27,Age-18to64,2485
717,2020-12-28,Age-18to64,2543
718,2020-12-29,Age-18to64,2599
719,2020-12-30,Age-18to64,2656
720,2020-12-31,Age-18to64,2717
721,2021-01-01,Age-18to64,2747
722,2021-01-02,Age-18to64,2784
723,2021-01-03,Age-18to64,2810
724,2021-01-04,Age-18to64,2877
725,2021-01-05,Age-18to64,2939
726,2021-01-06,Age-18to64,2988
727,2021-01-07,Age-18to64,3087
728,2021-01-08,Age-18to64,3152
729,2021-01-09,Age-18to64,3199
730,2021-01-10,Age-18to64,3231
731,2021-01-11,Age-18to64,3311
732,2021-01-12,Age-18to64,3383
733,2021-01-13,Age-18to64,3457
734,2021-01-14,Age-18to64,3530
735,2021-01-15,Age-18to64,3595
736,2021-01-16,Age-18to64,3640
737,2021-01-17,Age-18to64,3669
738,2021-01-18,Age-18to64,3728
739,2021-01-19,Age-18to64,3808
740,2021-01-20,Age-18to64,3886
741,2021-01-21,Age-18to64,3937
742,2021-01-22,Age-18to64,4030
743,2021-01-23,Age-18to64,4045
744,2021-01-24,Age-18to64,4055
745,2021-01-25,Age-18to64,4144
746,2021-01-26,Age-18to64,4221
747,2021-01-27,Age-18to64,4316
748,2021-01-28,Age-18to64,4390
749,2021-01-29,Age-18to64,4484
750,2021-01-30,Age-18to64,4536
751,2021-01-31,Age-18to64,4560
752,2021-02-01,Age-18to64,4629
753,2021-02-02,Age-18to64,4703
754,2021-02-03,Age-18to64,4778
755,2021-02-04,Age-18to64,4834
756,2021-02-05,Age-18to64,4873
757,2021-02-06,Age-18to64,4898
758,2021-02-07,Age-18to64,4925
759,2021-02-08,Age-18to64,4979
760,2021-02-09,Age-18to64,5021
761,2021-02-10,Age-18to64,5082
